Property~Id элемента~Id;Property~Имя~DisplayName;Property~Полное имя~FullName;Property~Классификация~ItemTypeDisplayName;Link~Прием значения из~MasterSCADA.ReadValue;Link~Передача значения в~MasterSCADA.ReadValue
2227293;Ручной режим;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZSH_2_9.Ручной режим;MasterSCADA.Attribute;;
2227294;Статус режим;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZSH_2_9.Статус режим;MasterSCADA.Attribute;;
2227295;Сброс;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZSH_2_9.Сброс;MasterSCADA.Attribute;;
2227296;Открыть;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZSH_2_9.Открыть;MasterSCADA.Attribute;;
2227297;Закрыть;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZSH_2_9.Закрыть;MasterSCADA.Attribute;;
2227298;Подтверждение уставки;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZSH_2_9.Подтверждение уставки;MasterSCADA.Attribute;;
2227299;Местный режим;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZSH_2_9.Местный режим;MasterSCADA.Attribute;;
2227300;Дистанционный режим;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZSH_2_9.Дистанционный режим;MasterSCADA.Attribute;;
2227301;Регулируемая_НеРегулируемая;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZSH_2_9.Регулируемая_НеРегулируемая;MasterSCADA.Attribute;;
2227302;Ключ управления;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZSH_2_9.Ключ управления;MasterSCADA.Attribute;;
2227315;Название механизма;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZSH_2_10.Название механизма;MasterSCADA.Attribute;;
2227316;Текущий режим;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZSH_2_10.Текущий режим;MasterSCADA.Attribute;;
2227317;Текущее положение;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZSH_2_10.Текущее положение;MasterSCADA.Attribute;;
2227318;Уставка;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZSH_2_10.Уставка;MasterSCADA.Attribute;;
2227319;Подпись при наведении;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZSH_2_10.Подпись при наведении;MasterSCADA.Attribute;;
2227320;Слово состояния;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZSH_2_10.Слово состояния;MasterSCADA.Attribute;;
2227321;Слово положения;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZSH_2_10.Слово положения;MasterSCADA.Attribute;;
2227322;Блокировка управления;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZSH_2_10.Блокировка управления;MasterSCADA.Attribute;;
2227323;В процессе открывания;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZSH_2_10.В процессе открывания;MasterSCADA.Attribute;;
2227324;В процессе закрывания;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZSH_2_10.В процессе закрывания;MasterSCADA.Attribute;;
2227325;Автоматический режим;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZSH_2_10.Автоматический режим;MasterSCADA.Attribute;;
2227326;Ручной режим;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZSH_2_10.Ручной режим;MasterSCADA.Attribute;;
2227327;Статус режим;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZSH_2_10.Статус режим;MasterSCADA.Attribute;;
2227328;Сброс;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZSH_2_10.Сброс;MasterSCADA.Attribute;;
2227329;Открыть;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZSH_2_10.Открыть;MasterSCADA.Attribute;;
2227330;Закрыть;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZSH_2_10.Закрыть;MasterSCADA.Attribute;;
2227331;Подтверждение уставки;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZSH_2_10.Подтверждение уставки;MasterSCADA.Attribute;;
2227332;Местный режим;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZSH_2_10.Местный режим;MasterSCADA.Attribute;;
2227333;Дистанционный режим;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZSH_2_10.Дистанционный режим;MasterSCADA.Attribute;;
2227334;Регулируемая_НеРегулируемая;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZSH_2_10.Регулируемая_НеРегулируемая;MasterSCADA.Attribute;;
2227335;Ключ управления;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZSH_2_10.Ключ управления;MasterSCADA.Attribute;;
2227348;Название механизма;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZSH_2_11.Название механизма;MasterSCADA.Attribute;;
2227349;Текущий режим;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZSH_2_11.Текущий режим;MasterSCADA.Attribute;;
2227350;Текущее положение;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZSH_2_11.Текущее положение;MasterSCADA.Attribute;;
2227351;Уставка;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZSH_2_11.Уставка;MasterSCADA.Attribute;;
2227352;Подпись при наведении;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZSH_2_11.Подпись при наведении;MasterSCADA.Attribute;;
2227353;Слово состояния;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZSH_2_11.Слово состояния;MasterSCADA.Attribute;;
2227354;Слово положения;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZSH_2_11.Слово положения;MasterSCADA.Attribute;;
2227355;Блокировка управления;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZSH_2_11.Блокировка управления;MasterSCADA.Attribute;;
2227356;В процессе открывания;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZSH_2_11.В процессе открывания;MasterSCADA.Attribute;;
2227357;В процессе закрывания;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZSH_2_11.В процессе закрывания;MasterSCADA.Attribute;;
2227358;Автоматический режим;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZSH_2_11.Автоматический режим;MasterSCADA.Attribute;;
2227359;Ручной режим;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZSH_2_11.Ручной режим;MasterSCADA.Attribute;;
2227360;Статус режим;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZSH_2_11.Статус режим;MasterSCADA.Attribute;;
2227361;Сброс;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZSH_2_11.Сброс;MasterSCADA.Attribute;;
2227362;Открыть;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZSH_2_11.Открыть;MasterSCADA.Attribute;;
2227363;Закрыть;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZSH_2_11.Закрыть;MasterSCADA.Attribute;;
2227364;Подтверждение уставки;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZSH_2_11.Подтверждение уставки;MasterSCADA.Attribute;;
2227365;Местный режим;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZSH_2_11.Местный режим;MasterSCADA.Attribute;;
2227366;Дистанционный режим;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZSH_2_11.Дистанционный режим;MasterSCADA.Attribute;;
2227367;Регулируемая_НеРегулируемая;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZSH_2_11.Регулируемая_НеРегулируемая;MasterSCADA.Attribute;;
2227368;Ключ управления;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZSH_2_11.Ключ управления;MasterSCADA.Attribute;;
2227381;Название механизма;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZSH_2_12.Название механизма;MasterSCADA.Attribute;;
2227382;Текущий режим;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZSH_2_12.Текущий режим;MasterSCADA.Attribute;;
2227383;Текущее положение;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZSH_2_12.Текущее положение;MasterSCADA.Attribute;;
2227384;Уставка;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZSH_2_12.Уставка;MasterSCADA.Attribute;;
2227385;Подпись при наведении;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZSH_2_12.Подпись при наведении;MasterSCADA.Attribute;;
2227386;Слово состояния;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZSH_2_12.Слово состояния;MasterSCADA.Attribute;;
2227387;Слово положения;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZSH_2_12.Слово положения;MasterSCADA.Attribute;;
2227388;Блокировка управления;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZSH_2_12.Блокировка управления;MasterSCADA.Attribute;;
2227389;В процессе открывания;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZSH_2_12.В процессе открывания;MasterSCADA.Attribute;;
2227390;В процессе закрывания;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZSH_2_12.В процессе закрывания;MasterSCADA.Attribute;;
2227391;Автоматический режим;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZSH_2_12.Автоматический режим;MasterSCADA.Attribute;;
2227392;Ручной режим;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZSH_2_12.Ручной режим;MasterSCADA.Attribute;;
2227393;Статус режим;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZSH_2_12.Статус режим;MasterSCADA.Attribute;;
2227394;Сброс;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZSH_2_12.Сброс;MasterSCADA.Attribute;;
2227395;Открыть;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZSH_2_12.Открыть;MasterSCADA.Attribute;;
2227396;Закрыть;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZSH_2_12.Закрыть;MasterSCADA.Attribute;;
2227397;Подтверждение уставки;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZSH_2_12.Подтверждение уставки;MasterSCADA.Attribute;;
2227398;Местный режим;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZSH_2_12.Местный режим;MasterSCADA.Attribute;;
2227399;Дистанционный режим;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZSH_2_12.Дистанционный режим;MasterSCADA.Attribute;;
2227400;Регулируемая_НеРегулируемая;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZSH_2_12.Регулируемая_НеРегулируемая;MasterSCADA.Attribute;;
2227401;Ключ управления;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZSH_2_12.Ключ управления;MasterSCADA.Attribute;;
