Property~Id элемента~Id;Property~Имя~DisplayName;Property~Полное имя~FullName;Property~Классификация~ItemTypeDisplayName;Link~Прием значения из~MasterSCADA.ReadValue;Link~Передача значения в~MasterSCADA.ReadValue
2227071;Ключ управления;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_2.Ключ управления;MasterSCADA.Attribute;;
2227084;Название механизма;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_3.Название механизма;MasterSCADA.Attribute;;
2227085;Текущий режим;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_3.Текущий режим;MasterSCADA.Attribute;;
2227086;Текущее положение;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_3.Текущее положение;MasterSCADA.Attribute;;
2227087;Уставка;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_3.Уставка;MasterSCADA.Attribute;;
2227088;Подпись при наведении;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_3.Подпись при наведении;MasterSCADA.Attribute;;
2227089;Слово состояния;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_3.Слово состояния;MasterSCADA.Attribute;;
2227090;Слово положения;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_3.Слово положения;MasterSCADA.Attribute;;
2227091;Блокировка управления;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_3.Блокировка управления;MasterSCADA.Attribute;;
2227092;В процессе открывания;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_3.В процессе открывания;MasterSCADA.Attribute;;
2227093;В процессе закрывания;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_3.В процессе закрывания;MasterSCADA.Attribute;;
2227094;Автоматический режим;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_3.Автоматический режим;MasterSCADA.Attribute;;
2227095;Ручной режим;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_3.Ручной режим;MasterSCADA.Attribute;;
2227096;Статус режим;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_3.Статус режим;MasterSCADA.Attribute;;
2227097;Сброс;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_3.Сброс;MasterSCADA.Attribute;;
2227098;Открыть;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_3.Открыть;MasterSCADA.Attribute;;
2227099;Закрыть;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_3.Закрыть;MasterSCADA.Attribute;;
2227100;Подтверждение уставки;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_3.Подтверждение уставки;MasterSCADA.Attribute;;
2227101;Местный режим;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_3.Местный режим;MasterSCADA.Attribute;;
2227102;Дистанционный режим;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_3.Дистанционный режим;MasterSCADA.Attribute;;
2227103;Регулируемая_НеРегулируемая;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_3.Регулируемая_НеРегулируемая;MasterSCADA.Attribute;;
2227104;Ключ управления;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_3.Ключ управления;MasterSCADA.Attribute;;
2227117;Название механизма;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_4.Название механизма;MasterSCADA.Attribute;;
2227118;Текущий режим;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_4.Текущий режим;MasterSCADA.Attribute;;
2227119;Текущее положение;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_4.Текущее положение;MasterSCADA.Attribute;;
2227120;Уставка;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_4.Уставка;MasterSCADA.Attribute;;
2227121;Подпись при наведении;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_4.Подпись при наведении;MasterSCADA.Attribute;;
2227122;Слово состояния;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_4.Слово состояния;MasterSCADA.Attribute;;
2227123;Слово положения;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_4.Слово положения;MasterSCADA.Attribute;;
2227124;Блокировка управления;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_4.Блокировка управления;MasterSCADA.Attribute;;
2227125;В процессе открывания;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_4.В процессе открывания;MasterSCADA.Attribute;;
2227126;В процессе закрывания;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_4.В процессе закрывания;MasterSCADA.Attribute;;
2227127;Автоматический режим;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_4.Автоматический режим;MasterSCADA.Attribute;;
2227128;Ручной режим;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_4.Ручной режим;MasterSCADA.Attribute;;
2227129;Статус режим;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_4.Статус режим;MasterSCADA.Attribute;;
2227130;Сброс;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_4.Сброс;MasterSCADA.Attribute;;
2227131;Открыть;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_4.Открыть;MasterSCADA.Attribute;;
2227132;Закрыть;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_4.Закрыть;MasterSCADA.Attribute;;
2227133;Подтверждение уставки;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_4.Подтверждение уставки;MasterSCADA.Attribute;;
2227134;Местный режим;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_4.Местный режим;MasterSCADA.Attribute;;
2227135;Дистанционный режим;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_4.Дистанционный режим;MasterSCADA.Attribute;;
